category_id,category_name,parent_id,parent_name,root_id,root_name,path
29014,"Antelope County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Antelope County, NE"
29015,"Arthur County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Arthur County, NE"
29016,"Banner County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Banner County, NE"
29017,"Blaine County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Blaine County, NE"
29018,"Boone County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Boone County, NE"
29019,"Box Butte County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Box Butte County, NE"
29020,"Boyd County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Boyd County, NE"
29021,"Brown County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Brown County, NE"
29022,"Buffalo County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Buffalo County, NE"
29023,"Burt County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Burt County, NE"
29024,"Butler County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Butler County, NE"
29025,"Cass County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Cass County, NE"
29026,"Cedar County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Cedar County, NE"
29027,"Chase County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Chase County, NE"
29028,"Cherry County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Cherry County, NE"
